zone_id,latitude,longitude,geological_score,ndvi,rainfall_mm,soil_moisture_pct,temperature_c,equipment_downtime_hrs,target_production,actual_production,shortfall_risk
ZONE-D (Gumgaon),21.38,79.03,75.0,0.506,105.4,70.0,28.5,15.6,36185.0,21712.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,60.9,0.327,44.8,40.3,32.4,10.9,39442.0,32559.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,70.6,0.297,31.4,34.6,28.7,8.4,39961.0,34601.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,78.4,0.261,23.9,34.1,31.0,56.2,44726.0,26836.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,53.0,0.287,20.9,32.2,37.6,20.8,44651.0,29818.0,HIGH
ZONE-E (Kandri),21.42,79.27,43.5,0.268,17.2,30.8,31.7,16.3,43220.0,31964.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,86.3,0.21,0.6,12.7,30.7,23.1,44337.0,27969.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,60.1,0.288,4.3,23.3,31.3,11.5,42566.0,34739.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,73.7,0.4,76.4,50.2,37.4,16.5,40444.0,29793.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,86.7,0.308,43.4,38.9,29.2,12.5,42260.0,33822.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,50.3,0.255,10.0,30.4,29.7,11.2,44367.0,36406.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,51.5,0.246,12.3,25.1,29.5,23.5,37099.0,23156.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,83.6,0.266,13.4,25.0,32.8,15.8,40597.0,30337.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,78.9,0.324,23.2,26.1,29.9,9.2,39635.0,33811.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,62.8,0.499,124.9,68.5,30.6,13.9,36463.0,22671.0,HIGH
ZONE-E (Kandri),21.42,79.27,42.2,0.312,14.8,32.4,34.5,39.2,36728.0,22037.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,34.9,0.311,9.7,23.8,41.7,27.0,37356.0,22414.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,35.7,0.249,7.2,23.6,36.8,13.1,41807.0,33057.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,75.6,0.373,98.8,66.2,39.4,26.3,40873.0,19619.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,63.1,0.287,10.4,28.9,34.9,3.3,44075.0,41717.0,LOW
ZONE-E (Kandri),21.42,79.27,51.8,0.375,75.0,51.3,37.2,14.0,43990.0,34147.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,66.6,0.235,3.1,22.6,26.1,14.6,41868.0,32083.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,78.8,0.252,6.8,23.0,28.9,28.8,38773.0,23264.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,73.9,0.321,24.9,25.9,35.4,12.9,39910.0,31673.0,HIGH
ZONE-E (Kandri),21.42,79.27,56.1,0.38,24.4,29.9,29.1,6.2,41809.0,37652.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,69.2,0.608,182.4,95.0,40.1,19.1,44823.0,24888.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,66.1,0.264,12.2,29.7,31.1,15.0,42264.0,32132.0,HIGH
ZONE-F (Mansar),21.4,79.28,73.1,0.223,3.6,21.8,40.0,22.3,39235.0,25219.0,HIGH
ZONE-E (Kandri),21.42,79.27,54.9,0.259,12.3,19.3,35.8,5.1,39571.0,36342.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,66.8,0.359,77.3,50.2,27.5,9.2,40884.0,34887.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,41.6,0.396,63.9,47.1,26.6,16.4,43451.0,32058.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,81.5,0.274,8.5,20.9,26.8,47.6,42535.0,25521.0,HIGH
ZONE-E (Kandri),21.42,79.27,47.8,0.435,122.2,69.8,37.9,7.5,39855.0,28036.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,74.3,0.277,18.4,26.9,30.0,35.7,38519.0,23112.0,HIGH
ZONE-E (Kandri),21.42,79.27,44.9,0.375,46.9,49.6,32.7,7.6,36130.0,31762.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,70.6,0.239,3.4,20.4,41.7,20.2,40182.0,27193.0,HIGH
ZONE-E (Kandri),21.42,79.27,44.6,0.325,17.8,34.2,26.7,30.3,43708.0,26225.0,HIGH
ZONE-E (Kandri),21.42,79.27,56.3,0.335,40.3,40.4,41.1,16.3,42095.0,31129.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,36.8,0.264,36.1,44.8,41.1,17.3,37762.0,27322.0,HIGH
ZONE-E (Kandri),21.42,79.27,45.9,0.264,8.5,22.1,35.9,27.2,42135.0,25281.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.0,0.357,59.0,44.0,37.1,22.7,43231.0,27548.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,84.4,0.249,27.8,39.2,35.2,8.3,41225.0,35758.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,60.5,0.274,28.9,36.1,37.8,8.2,40469.0,35151.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,81.3,0.303,13.5,25.1,26.2,16.1,41161.0,30572.0,HIGH
ZONE-E (Kandri),21.42,79.27,52.2,0.321,3.4,26.0,29.4,16.9,43546.0,31764.0,HIGH
ZONE-F (Mansar),21.4,79.28,59.6,0.32,42.3,39.3,27.4,15.2,43315.0,32809.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,76.4,0.353,31.4,28.5,33.7,6.3,38972.0,35068.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,68.6,0.297,23.7,34.0,26.9,10.6,42714.0,35461.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,59.3,0.253,9.5,21.0,27.3,1.1,44801.0,43990.0,LOW
ZONE-E (Kandri),21.42,79.27,54.8,0.255,1.5,19.5,41.9,23.8,40708.0,25230.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,78.2,0.24,8.6,24.1,37.8,31.7,39021.0,23413.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,64.7,0.201,7.3,22.3,35.3,8.9,38786.0,33270.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,80.5,0.295,32.3,42.0,27.2,9.8,44273.0,37365.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,62.1,0.437,94.5,55.6,39.0,10.7,39428.0,26161.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.2,0.353,61.8,43.4,26.6,14.0,42749.0,33177.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,37.7,0.293,28.4,40.4,33.2,19.3,38058.0,26297.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,86.2,0.349,49.5,44.3,33.6,9.6,44712.0,37852.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,73.8,0.366,73.2,50.7,26.5,10.8,37917.0,31386.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,68.1,0.319,33.6,38.6,36.2,15.2,40927.0,30947.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,72.4,0.406,53.6,42.3,39.8,4.2,40132.0,37420.0,LOW
ZONE-B (Tirodi Mine),21.68,79.71,51.3,0.283,33.9,35.1,35.3,8.4,41263.0,35735.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,48.0,0.227,5.2,30.5,31.5,17.8,37551.0,26856.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,70.9,0.253,8.9,22.7,31.6,24.6,39204.0,23780.0,HIGH
ZONE-F (Mansar),21.4,79.28,63.1,0.341,15.9,36.7,26.6,13.3,43862.0,34519.0,HIGH
ZONE-E (Kandri),21.42,79.27,56.3,0.256,0.1,20.9,34.6,13.3,40781.0,32092.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,60.7,0.364,48.2,38.6,34.2,15.9,40794.0,30385.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,73.7,0.351,46.8,37.2,39.5,4.6,39086.0,36205.0,LOW
ZONE-A (Dongri Buzurg),21.53,79.68,89.3,0.329,39.8,38.7,27.4,30.9,39885.0,23931.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,26.6,0.305,16.7,29.7,35.7,10.6,44403.0,36867.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,48.4,0.244,3.8,21.6,28.6,8.2,44071.0,38276.0,MEDIUM
ZONE-C (Balaghat Pit 4),21.8,80.18,34.0,0.31,26.0,29.5,27.8,12.6,37538.0,29994.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,31.7,0.379,60.2,50.1,33.6,36.0,42626.0,25576.0,HIGH
ZONE-D (Gumgaon),21.38,79.03,86.8,0.213,4.3,24.5,35.3,21.4,36466.0,23983.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,73.4,0.352,21.2,23.1,29.2,39.6,43149.0,25889.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,75.1,0.366,66.6,47.5,40.9,9.0,42494.0,36370.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,69.7,0.367,64.5,50.4,29.2,10.4,41987.0,35010.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,59.4,0.366,83.5,60.8,36.9,35.8,41617.0,24970.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,70.5,0.347,48.2,35.4,40.4,21.8,41618.0,27110.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,37.2,0.263,19.8,33.8,37.1,34.6,44979.0,26988.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,84.5,0.25,13.1,29.2,26.5,31.4,39079.0,23447.0,HIGH
ZONE-F (Mansar),21.4,79.28,68.5,0.238,26.9,29.0,35.7,66.0,39681.0,23808.0,HIGH
ZONE-E (Kandri),21.42,79.27,45.1,0.369,44.6,45.6,34.7,7.3,44176.0,39021.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,65.3,0.25,9.0,17.3,35.8,10.8,41337.0,34215.0,MEDIUM
ZONE-D (Gumgaon),21.38,79.03,66.2,0.315,29.1,35.0,37.3,15.3,39817.0,30046.0,HIGH
ZONE-E (Kandri),21.42,79.27,50.6,0.244,3.9,20.4,28.6,17.1,38803.0,28211.0,HIGH
ZONE-C (Balaghat Pit 4),21.8,80.18,28.6,0.309,31.3,31.7,31.4,6.0,44279.0,40061.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,54.4,0.293,21.9,33.2,35.4,17.6,36305.0,26066.0,HIGH
ZONE-A (Dongri Buzurg),21.53,79.68,84.4,0.315,15.8,34.5,26.2,5.9,37338.0,33797.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,58.0,0.392,69.0,45.7,30.8,6.7,43198.0,38549.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,75.2,0.233,8.0,33.9,27.1,10.9,39967.0,33012.0,MEDIUM
ZONE-B (Tirodi Mine),21.68,79.71,61.0,0.305,24.1,29.4,31.3,14.0,44077.0,34208.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,58.1,0.325,18.4,32.0,26.4,7.7,36177.0,31710.0,MEDIUM
ZONE-F (Mansar),21.4,79.28,70.3,0.284,14.5,30.4,34.9,22.2,41429.0,26716.0,HIGH
ZONE-F (Mansar),21.4,79.28,65.0,0.344,62.1,54.5,29.3,19.0,36770.0,25607.0,HIGH
ZONE-E (Kandri),21.42,79.27,48.8,0.214,0.9,21.7,32.7,4.8,41313.0,38121.0,LOW
ZONE-D (Gumgaon),21.38,79.03,73.8,0.354,62.2,52.7,31.8,10.0,43018.0,36121.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,80.8,0.391,71.0,55.8,38.8,10.0,40875.0,34305.0,MEDIUM
ZONE-E (Kandri),21.42,79.27,58.3,0.25,18.0,30.6,32.7,25.4,40767.0,24460.0,HIGH
ZONE-B (Tirodi Mine),21.68,79.71,65.0,0.259,30.1,35.2,36.4,9.3,37232.0,31703.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,81.0,0.297,10.8,21.3,36.1,55.8,39639.0,23784.0,HIGH
ZONE-F (Mansar),21.4,79.28,59.9,0.307,25.6,30.1,35.7,8.3,39201.0,33987.0,MEDIUM
ZONE-A (Dongri Buzurg),21.53,79.68,80.9,0.343,44.7,42.3,32.3,2.8,37458.0,35753.0,LOW
ZONE-D (Gumgaon),21.38,79.03,73.7,0.251,1.8,31.1,31.3,10.1,42554.0,35656.0,MEDIUM
